element,terminal,P1_kW,Q1_kvar,P1_MW,Q1_Mvar
Vsource.source,1,107.092638,-155.503010,0.107093,-0.155503
Vsource.source,2,-0.000000,0.000000,-0.000000,0.000000
Line.1-2,1,-103.453604,160.127072,-0.103454,0.160127
Line.1-2,2,212.840671,173.324575,0.212841,0.173325
Line.1-5,1,-3.639035,-4.624062,-0.003639,-0.004624
Line.1-5,2,3.917059,5.389152,0.003917,0.005389
Line.2-3,1,21.964274,21.061899,0.021964,0.021062
Line.2-3,2,-18.666019,-7.585145,-0.018666,-0.007585
Line.2-4,1,-3.353451,26.499776,-0.003353,0.026500
Line.2-4,2,6.507029,-17.263825,0.006507,-0.017264
Line.2-5,1,80.701447,52.563213,0.080701,0.052563
Line.2-5,2,-41.088027,67.995848,-0.041088,0.067996
Line.3-4,1,-15.985769,11.623793,-0.015986,0.011624
Line.3-4,2,20.543233,-0.068307,0.020543,-0.000068
Line.4-5,1,212.508639,128.360450,0.212509,0.128360
Line.4-5,2,-79.902625,289.919646,-0.079903,0.289920
Line.6-11,1,332.503418,621.646948,0.332503,0.621647
Line.6-11,2,-53.347075,-37.058649,-0.053347,-0.037059
Line.6-12,1,268.718948,509.642404,0.268719,0.509642
Line.6-12,2,-27.445454,-7.484953,-0.027445,-0.007485
Line.6-13,1,532.974707,985.238108,0.532975,0.985238
Line.6-13,2,-42.128862,-18.609413,-0.042129,-0.018609
Line.7-8,1,-85919.489133,-95.162279,-85.919489,-0.095162
Line.7-8,2,85919.489133,11619.820058,85.919489,11.619820
Line.7-9,1,42202.944090,-1188.395502,42.202944,-1.188396
Line.7-9,2,-42202.944090,2926.289876,-42.202944,2.926290
Line.9-10,1,429.068753,986.077395,0.429069,0.986077
Line.9-10,2,-75.445677,-46.713992,-0.075446,-0.046714
Line.9-14,1,150.453060,309.105206,0.150453,0.309105
Line.9-14,2,-6.048071,-1.936449,-0.006048,-0.001936
Line.10-11,1,6.022816,1.974814,0.006023,0.001975
Line.10-11,2,-1.369166,8.918868,-0.001369,0.008919
Line.12-13,1,0.059191,0.301671,0.000059,0.000302
Line.12-13,2,-0.008546,-0.255850,-0.000009,-0.000256
Line.13-14,1,0.111412,0.809649,0.000111,0.000810
Line.13-14,2,0.287983,0.003534,0.000288,0.000004
Transformer.4-7,1,-43716.545043,2261.496977,-43.716545,2.261497
Transformer.4-7,2,43716.545043,1283.557781,43.716545,1.283558
Transformer.4-9,1,-8203.971253,1844.121857,-8.203971,1.844122
Transformer.4-9,2,8203.971253,-1502.601886,8.203971,-1.502602
Transformer.5-6,1,-11939.659150,-2901.564172,-11.939659,-2.901564
Transformer.5-6,2,11939.659150,3109.895457,11.939659,3.109895
Load.b2,1,-9627.312723,51436.580404,-9.627313,51.436580
Load.b3,1,15515.494311,-36883.213850,15.515494,-36.883214
Load.b4,1,928.861387,-15510.746227,0.928861,-15.510746
Load.b5,1,1243.551966,-1444.976893,1.243552,-1.444977
Load.b6,1,3437.383046,-1730.230269,3.437383,-1.730230
Load.b9,1,6971.228095,-8950.576507,6.971228,-8.950577
Load.b10,1,15.846752,-18.958220,0.015847,-0.018958
Load.b11,1,7.427784,-5.651350,0.007428,-0.005651
Load.b12,1,3.057908,-3.149099,0.003058,-0.003149
Load.b13,1,5.611645,-4.321052,0.005612,-0.004321
Load.b14,1,0.798220,-1.635351,0.000798,-0.001635
Capacitor.b9,1,0.000000,-21524.392186,0.000000,-21.524392
Capacitor.b9,2,0.000000,0.000000,0.000000,0.000000
Generator.b2,1,-50963.254923,-24049.814828,-50.963255,-24.049815
Generator.b3,1,-94450.539476,-19061.553664,-94.450539,-19.061554
Generator.b6,1,-33698.651263,-19037.668421,-33.698651,-19.037668
Generator.b8,1,-85919.479771,-11619.810935,-85.919480,-11.619811
