timestamp, index, name, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/25 00:44:49.336, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 0, 97887, 36.92, 32
2026/08/25 00:44:59.341, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 0, 97887, 37.08, 31
2026/08/25 00:45:09.345, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 0, 97887, 37.41, 32
2026/08/25 00:45:19.346, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 0, 97887, 36.88, 32
2026/08/25 00:45:29.347, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 0, 97887, 36.83, 32
2026/08/25 00:45:39.349, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 0, 0, 3, 97887, 37.25, 31
2026/08/25 00:45:49.350, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 14, 1, 7931, 97887, 96.10, 34
2026/08/25 00:45:59.351, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 99, 43, 10337, 97887, 229.25, 45
2026/08/25 00:46:09.352, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 99, 42, 11917, 97887, 332.52, 49
2026/08/25 00:46:19.353, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-47470024-7d6b-0bf1-8d42-80fda433c203, 19, 7, 12697, 97887, 189.75, 48
