timestamp, index, name, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/24 19:16:25.580, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 35.31, 35
2026/08/24 19:16:35.586, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 35.33, 34
2026/08/24 19:16:45.587, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 35.27, 34
2026/08/24 19:16:55.588, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.74, 33
2026/08/24 19:17:05.589, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.82, 33
2026/08/24 19:17:15.590, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.74, 33
2026/08/24 19:17:25.591, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.77, 32
2026/08/24 19:17:35.593, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.72, 32
2026/08/24 19:17:45.594, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 0, 97887, 34.48, 32
2026/08/24 19:17:55.595, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, GPU-985516f8-b109-b683-b94e-688b9d6b998c, 0, 0, 3, 97887, 34.25, 32
